Language,HD,Processor,URL,SHA256
de,,ARM64,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_de_ARM64_v25.09r5812.zip,d935ab5c1641d2b83d77e59669b8166992f846cda9a483faf1a8303c893775b6
de,,AVX2,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_de_AVX2_v25.09r5812.zip,444b89d976615cbcbaf53aea6a6f930207ed0a3c906d2bfd3c7e95339313ef73
de,,AVX512,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_de_AVX512_v25.09r5812.zip,e24a7c7776f360b11d92972b8b6b40f5e8711af2d422333b68ed23f828ef15c5
de,,Win32,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_de_Win32_v25.09r5812.zip,900d55c52f41d8da9ad21a0a04b6cf9e12a60f39da744cb6c2e2afbbfa46c9a7
de,,x64,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_de_x64_v25.09r5812.zip,cf06a87fca2ac5ddf04a332fdc7ff4ed421c26f3e18de556ef4a1abc2a8946a2
en,,ARM64,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_en_ARM64_v25.09r5812.zip,9ae2d0d189b883e3c56ea59fe0aed654b066a7c29e8e6a18dd3f19dd92d5bbd7
en,,AVX2,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_en_AVX2_v25.09r5812.zip,ffb91928b515290ccde3e98ea5d5b018d2401aaf2cb93b4b2de6dc626a1da23d
en,,AVX512,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_en_AVX512_v25.09r5812.zip,104c6b6a067c570a3e8ae86b05d11891a73d8a324882e775a352059375293041
en,,Win32,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_en_Win32_v25.09r5812.zip,1350b32e4b9fa6153615153eeaab2acfc7fe558cb69e9eeb14505f7ec0c0da7e
en,,x64,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_en_x64_v25.09r5812.zip,89f98e6c902f1a3ff7591d9f62dde1ee1bc7634dab3b691a83c1070f7d2ef292
fr,,ARM64,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_fr_ARM64_v25.09r5812.zip,d68e0e5fa698203cc1590cb0dac21e9d39df5f888c4aa1e4fd72610e85b74ed2
fr,,AVX2,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_fr_AVX2_v25.09r5812.zip,1d335a0436acd59e2a404f0a783e0328b75051a2c62ab50e493889e83915a6f3
fr,,AVX512,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_fr_AVX512_v25.09r5812.zip,d866b09254d1a3dd0902526319e76011f4cade340c923c3e080d67ccd853e5af
fr,,Win32,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_fr_Win32_v25.09r5812.zip,ba40fa9ce77446d44890ecfbb2fda64f85ff41b0ef0af42234511eba8c6091cf
fr,,x64,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_fr_x64_v25.09r5812.zip,74998d8fd09ef5618c1ef8273c4765a1eb42bbc86d4c13631c18aa880e9df0f6
de,HD,ARM64,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_HD_de_ARM64_v25.09r5812.zip,125e7f08cbb634b69d2fff444bbdbd3b40cb3c1892bc5ac2ff6481b8a8a51de1
de,HD,AVX2,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_HD_de_AVX2_v25.09r5812.zip,88a48c926477d493d233714b19093e5f6d7e949ad77911b37b459753fd933c9a
de,HD,AVX512,https://github.com/zufuliu/notepad4/releases/download/v25.09r5812/Notepad4_HD_de_AVX512_v25.09r5812.zip,bafea371e0b2f9e316048b1fdd63631323a1ba3a3ae5e3d8426791618c02ce7a
